gene_name	Hap1	Hap2	gene_count	rate_of_gene_count	only_h1	only_h2	intersect	h1_mismatch	h2_mismatch	intersect_mismatch	h1_mismatching_rate	h2_mismatching_rate	intersect_mismatching_rate	mismatching_rate	type	putative_haps
HLA-A	ssto	ssto	6	0.012	0	0	6	0	0	0	0	0	0	0	B	26
HLA-B	cox	pgf	377	0.754	146	60	171	0	0	0	0	0	0	0	A	1
HLA-B	cox	mann	317	0.634	268	0	49	0	0	0	0	NA	0	0	B	2
HLA-B	cox	mcf	317	0.634	309	0	8	0	0	0	0	NA	0	0	B	2
HLA-B	cox	qbl	317	0.634	301	0	16	0	0	0	0	NA	0	0	B	2
HLA-B	cox	ssto	317	0.634	269	0	48	0	0	0	0	NA	0	0	B	2
HLA-B	cox	cox	317	0.634	0	0	317	0	0	0	0	0	0	0	B	2
HLA-B	mann	pgf	253	0.506	22	204	27	0	0	0	0	0	0	0	B	3
HLA-B	pgf	ssto	252	0.504	204	21	27	0	0	0	0	0	0	0	B	4
HLA-B	mcf	pgf	237	0.474	6	229	2	0	0	0	0	0	0	0	B	5
HLA-B	pgf	qbl	237	0.474	221	6	10	0	0	0	0	0	0	0	B	5
HLA-B	pgf	pgf	231	0.462	0	0	231	0	0	0	0	0	0	0	B	6
HLA-B	mann	qbl	61	0.122	45	12	4	0	0	0	0	0	0	0	B	7
HLA-B	qbl	ssto	60	0.12	12	44	4	0	0	0	0	0	0	0	B	8
HLA-B	mann	mcf	53	0.106	45	4	4	0	0	0	0	0	0	0	B	9
HLA-B	mcf	ssto	52	0.104	4	44	4	0	0	0	0	0	0	0	B	10
HLA-B	mann	ssto	49	0.098	1	0	48	0	0	0	0	NA	0	0	B	11
HLA-B	mann	mann	49	0.098	0	0	49	0	0	0	0	0	0	0	B	11
HLA-B	ssto	ssto	48	0.096	0	0	48	0	0	0	0	0	0	0	B	12
HLA-B	mcf	qbl	17	0.034	1	9	7	0	0	0	0	0	0	0	B	13
HLA-B	qbl	qbl	16	0.032	0	0	16	0	0	0	0	0	0	0	B	14
HLA-B	mcf	mcf	8	0.016	0	0	8	0	0	0	0	0	0	0	B	15
HLA-C	cox	pgf	373	0.746	72	29	272	0	0	0	0	0	0	0	A	1
HLA-C	cox	dbb	344	0.688	335	0	9	0	0	0	0	NA	0	0	B	2
HLA-C	cox	mann	344	0.688	338	0	6	0	0	0	0	NA	0	0	B	2
HLA-C	cox	mcf	344	0.688	339	0	5	0	0	0	0	NA	0	0	B	2
HLA-C	cox	qbl	344	0.688	341	0	3	0	0	0	0	NA	0	0	B	2
HLA-C	cox	ssto	344	0.688	342	0	2	0	0	0	0	NA	0	0	B	2
HLA-C	cox	cox	344	0.688	0	0	344	0	0	0	0	0	0	0	B	2
HLA-C	dbb	pgf	301	0.602	0	292	9	0	0	0	NA	0	0	0	B	3
HLA-C	mann	pgf	301	0.602	0	295	6	0	0	0	NA	0	0	0	B	3
HLA-C	mcf	pgf	301	0.602	0	296	5	0	0	0	NA	0	0	0	B	3
HLA-C	pgf	qbl	301	0.602	298	0	3	0	0	0	0	NA	0	0	B	3
HLA-C	pgf	ssto	301	0.602	299	0	2	0	0	0	0	NA	0	0	B	3
HLA-C	pgf	pgf	301	0.602	0	0	301	0	0	0	0	0	0	0	B	3
HLA-C	dbb	mann	9	0.018	3	0	6	0	0	0	0	NA	0	0	B	4
HLA-C	dbb	mcf	9	0.018	4	0	5	0	0	0	0	NA	0	0	B	4
HLA-C	dbb	qbl	9	0.018	6	0	3	0	0	0	0	NA	0	0	B	4
HLA-C	dbb	ssto	9	0.018	7	0	2	0	0	0	0	NA	0	0	B	4
HLA-C	dbb	dbb	9	0.018	0	0	9	0	0	0	0	0	0	0	B	4
HLA-C	mann	mcf	7	0.014	2	1	4	0	0	0	0	0	0	0	B	5
HLA-C	mann	qbl	7	0.014	4	1	2	0	0	0	0	0	0	0	B	5
HLA-C	mcf	qbl	7	0.014	4	2	1	0	0	0	0	0	0	0	B	5
HLA-C	mcf	ssto	7	0.014	5	2	0	0	0	0	0	0	NA	0	B	5
HLA-C	mann	ssto	6	0.012	4	0	2	0	0	0	0	NA	0	0	B	6
HLA-C	mann	mann	6	0.012	0	0	6	0	0	0	0	0	0	0	B	6
HLA-C	mcf	mcf	5	0.01	0	0	5	0	0	0	0	0	0	0	B	7
HLA-C	qbl	ssto	3	0.006	1	0	2	0	0	0	0	NA	0	0	B	8
HLA-C	qbl	qbl	3	0.006	0	0	3	0	0	0	0	0	0	0	B	8
HLA-C	ssto	ssto	2	0.004	0	0	2	0	0	0	0	0	0	0	B	9
HLA-DRA	cox	pgf	421	0.842	82	124	215	0	0	0	0	0	0	0	A	1
HLA-DRA	mann	pgf	355	0.71	16	224	115	0	0	0	0	0	0	0	B	2
HLA-DRA	mcf	pgf	355	0.71	16	227	112	0	0	0	0	0	0	0	B	2
HLA-DRA	pgf	qbl	355	0.71	227	16	112	0	0	0	0	0	0	0	B	2
HLA-DRA	pgf	ssto	355	0.71	227	16	112	0	0	0	0	0	0	0	B	2
HLA-DRA	dbb	pgf	353	0.706	14	269	70	0	0	0	0	0	0	0	B	3
HLA-DRA	pgf	pgf	339	0.678	0	0	339	0	0	0	0	0	0	0	B	4
HLA-DRA	cox	dbb	299	0.598	215	2	82	0	0	0	0	0	0	0	B	5
HLA-DRA	cox	mann	299	0.598	168	2	129	0	0	0	0	0	0	0	B	5
HLA-DRA	cox	mcf	299	0.598	171	2	126	0	0	0	0	0	0	0	B	5
HLA-DRA	cox	qbl	299	0.598	171	2	126	0	0	0	0	0	0	0	B	5
HLA-DRA	cox	ssto	299	0.598	171	2	126	0	0	0	0	0	0	0	B	5
HLA-DRA	cox	cox	297	0.594	0	0	297	0	0	0	0	0	0	0	B	6
HLA-DRA	dbb	mann	135	0.27	4	51	80	0	0	0	0	0	0	0	B	7
HLA-DRA	dbb	mcf	135	0.27	7	51	77	0	0	0	0	0	0	0	B	7
HLA-DRA	dbb	qbl	135	0.27	7	51	77	0	0	0	0	0	0	0	B	7
HLA-DRA	dbb	ssto	135	0.27	7	51	77	0	0	0	0	0	0	0	B	7
HLA-DRA	mann	mcf	131	0.262	3	0	128	0	0	0	0	NA	0	0	B	8
HLA-DRA	mann	qbl	131	0.262	3	0	128	0	0	0	0	NA	0	0	B	8
HLA-DRA	mann	ssto	131	0.262	3	0	128	0	0	0	0	NA	0	0	B	8
HLA-DRA	mann	mann	131	0.262	0	0	131	0	0	0	0	0	0	0	B	8
HLA-DRA	mcf	qbl	128	0.256	0	0	128	0	0	0	NA	NA	0	0	B	9
HLA-DRA	mcf	ssto	128	0.256	0	0	128	0	0	0	NA	NA	0	0	B	9
HLA-DRA	qbl	ssto	128	0.256	0	0	128	0	0	0	NA	NA	0	0	B	9
HLA-DRA	mcf	mcf	128	0.256	0	0	128	0	0	0	0	0	0	0	B	9
HLA-DRA	qbl	qbl	128	0.256	0	0	128	0	0	0	0	0	0	0	B	9
HLA-DRA	ssto	ssto	128	0.256	0	0	128	0	0	0	0	0	0	0	B	9
HLA-DRA	dbb	dbb	84	0.168	0	0	84	0	0	0	0	0	0	0	B	10
HLA-DRB1	cox	pgf	367	0.734	224	143	0	0	0	0	0	0	NA	0	A	1
HLA-DRB1	pgf	qbl	367	0.734	143	224	0	0	0	0	0	0	NA	0	A	1
HLA-DRB1	apd	cox	225	0.45	1	224	0	0	0	0	0	0	NA	0	B	2
HLA-DRB1	apd	qbl	225	0.45	1	224	0	0	0	0	0	0	NA	0	B	2
HLA-DRB1	cox	qbl	224	0.448	0	0	224	0	0	0	NA	NA	0	0	B	3
HLA-DRB1	cox	cox	224	0.448	0	0	224	0	0	0	0	0	0	0	B	3
HLA-DRB1	qbl	qbl	224	0.448	0	0	224	0	0	0	0	0	0	0	B	3
HLA-DRB1	apd	pgf	144	0.288	1	143	0	0	0	0	0	0	NA	0	B	4
HLA-DRB1	pgf	pgf	143	0.286	0	0	143	0	0	0	0	0	0	0	B	5
HLA-DRB1	apd	apd	1	0.002	0	0	1	0	0	0	0	0	0	0	B	6
HLA-DPB1	cox	ssto	383	0.766	143	208	32	0	0	0	0	0	0	0	A	1
HLA-DPB1	cox	dbb	382	0.764	143	207	32	0	0	0	0	0	0	0	A	2
HLA-DPB1	cox	pgf	378	0.756	143	203	32	0	0	0	0	0	0	0	A	3
HLA-DPB1	cox	mann	373	0.746	143	198	32	0	0	0	0	0	0	0	A	4
HLA-DPB1	cox	qbl	373	0.746	143	198	32	0	0	0	0	0	0	0	A	4
HLA-DPB1	apd	cox	338	0.676	163	143	32	0	0	0	0	0	0	0	B	5
HLA-DPB1	cox	mcf	333	0.666	143	158	32	0	0	0	0	0	0	0	B	6
HLA-DPB1	apd	ssto	257	0.514	17	62	178	0	0	0	0	0	0	0	B	7
HLA-DPB1	apd	dbb	256	0.512	17	61	178	0	0	0	0	0	0	0	B	8
HLA-DPB1	apd	pgf	252	0.504	17	57	178	0	0	0	0	0	0	0	B	9
HLA-DPB1	apd	mann	250	0.5	20	55	175	0	0	0	0	0	0	0	B	10
HLA-DPB1	apd	qbl	250	0.5	20	55	175	0	0	0	0	0	0	0	B	10
HLA-DPB1	dbb	ssto	241	0.482	1	2	238	0	0	0	0	0	0	0	B	11
HLA-DPB1	mann	ssto	241	0.482	1	11	229	0	0	0	0	0	0	0	B	11
HLA-DPB1	pgf	ssto	241	0.482	1	6	234	0	0	0	0	0	0	0	B	11
HLA-DPB1	qbl	ssto	241	0.482	1	11	229	0	0	0	0	0	0	0	B	11
HLA-DPB1	mcf	ssto	240	0.48	0	50	190	0	0	0	NA	0	0	0	B	12
HLA-DPB1	ssto	ssto	240	0.48	0	0	240	0	0	0	0	0	0	0	B	12
HLA-DPB1	dbb	mann	239	0.478	9	0	230	0	0	0	0	NA	0	0	B	13
HLA-DPB1	dbb	mcf	239	0.478	49	0	190	0	0	0	0	NA	0	0	B	13
HLA-DPB1	dbb	pgf	239	0.478	4	0	235	0	0	0	0	NA	0	0	B	13
HLA-DPB1	dbb	qbl	239	0.478	9	0	230	0	0	0	0	NA	0	0	B	13
HLA-DPB1	dbb	dbb	239	0.478	0	0	239	0	0	0	0	0	0	0	B	13
HLA-DPB1	mann	pgf	235	0.47	0	5	230	0	0	0	NA	0	0	0	B	14
HLA-DPB1	mcf	pgf	235	0.47	0	45	190	0	0	0	NA	0	0	0	B	14
HLA-DPB1	pgf	qbl	235	0.47	5	0	230	0	0	0	0	NA	0	0	B	14
HLA-DPB1	pgf	pgf	235	0.47	0	0	235	0	0	0	0	0	0	0	B	14
HLA-DPB1	mann	mcf	233	0.466	43	3	187	0	0	0	0	0	0	0	B	15
HLA-DPB1	mcf	qbl	233	0.466	3	43	187	0	0	0	0	0	0	0	B	15
HLA-DPB1	mann	qbl	230	0.46	0	0	230	0	0	0	NA	NA	0	0	B	16
HLA-DPB1	mann	mann	230	0.46	0	0	230	0	0	0	0	0	0	0	B	16
HLA-DPB1	qbl	qbl	230	0.46	0	0	230	0	0	0	0	0	0	0	B	16
HLA-DPB1	apd	mcf	207	0.414	17	12	178	0	0	0	0	0	0	0	B	17
HLA-DPB1	apd	apd	195	0.39	0	0	195	0	0	0	0	0	0	0	B	18
HLA-DPB1	mcf	mcf	190	0.38	0	0	190	0	0	0	0	0	0	0	B	19
HLA-DPB1	cox	cox	175	0.35	0	0	175	0	0	0	0	0	0	0	B	20
