read_name	gene_name	./inst/extdata/mapping2apd bam	./inst/extdata/mapping2cox.bam	./inst/extdata/mapping2dbb.bam	./inst/extdata/mapping2mann.bam	./inst/extdata/mapping2mcf.bam	./inst/extdata/mapping2pgf.bam	./inst/extdata/mapping2qbl.bam	./inst/extdata/mapping2ssto.bam
WTCHG_18627:2:100:13050:12416	HLA-A	1	1	1	1	1	0	1	1
WTCHG_18627:2:100:13182:7667	HLA-A	1	1	1	NA	1	0	NA	NA
WTCHG_18627:2:100:13714:4023	HLA-A	1	1	NA	NA	NA	NA	3	NA
WTCHG_18627:2:100:13877:8364	HLA-A	3	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:14042:15263	HLA-A	0	0	NA	NA	NA	NA	1	NA
WTCHG_18627:2:100:14146:2824	HLA-A	NA	NA	NA	3	NA	NA	NA	NA
WTCHG_18627:2:100:14172:21018	HLA-A	1	1	1	2	1	2	3	2
WTCHG_18627:2:100:14180:4148	HLA-A	NA	NA	2	NA	2	NA	NA	NA
WTCHG_18627:2:100:14192:3892	HLA-A	2	2	2	2	2	0	2	NA
WTCHG_18627:2:100:14228:6484	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:100:14233:19863	HLA-A	0	0	1	3	1	0	NA	NA
WTCHG_18627:2:100:14337:5186	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:14417:20766	HLA-A	1	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:14433:10703	HLA-A	NA	NA	NA	NA	NA	2	NA	NA
WTCHG_18627:2:100:14530:8037	HLA-A	NA	NA	4	3	4	0	NA	NA
WTCHG_18627:2:100:14536:14223	HLA-A	1	1	2	2	2	0	2	2
WTCHG_18627:2:100:14551:13769	HLA-A	NA	NA	4	3	4	0	NA	NA
WTCHG_18627:2:100:14561:11282	HLA-A	NA	NA	NA	3	NA	0	NA	NA
WTCHG_18627:2:100:14564:10244	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:100:14701:15526	HLA-A	1	1	NA	NA	2	1	NA	NA
WTCHG_18627:2:100:14778:12456	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:14812:2240	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:100:14849:9610	HLA-A	0	0	NA	NA	NA	NA	2	NA
WTCHG_18627:2:100:14981:5909	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:100:15249:17910	HLA-A	0	0	2	3	2	0	3	3
WTCHG_18627:2:100:15359:13979	HLA-A	0	0	NA	NA	NA	2	NA	2
WTCHG_18627:2:100:15443:13861	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:15599:20514	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:15649:17311	HLA-A	0	0	NA	2	NA	NA	1	NA
WTCHG_18627:2:100:15682:17752	HLA-A	0	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:15686:2904	HLA-A	0	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:15705:2312	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:100:15786:9928	HLA-A	2	2	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:1591:12923	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:16021:14549	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:100:16300:4561	HLA-A	NA	NA	NA	NA	NA	2	NA	NA
WTCHG_18627:2:100:16325:7950	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:100:16343:17400	HLA-A	1	1	1	3	1	1	NA	3
WTCHG_18627:2:100:1634:19342	HLA-A	NA	NA	NA	NA	NA	NA	0	NA
WTCHG_18627:2:100:16354:15605	HLA-A	1	1	NA	2	NA	NA	2	NA
WTCHG_18627:2:100:16363:5080	HLA-A	NA	NA	1	1	NA	0	1	1
WTCHG_18627:2:100:16780:12602	HLA-A	2	2	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:16818:9056	HLA-A	0	0	NA	2	NA	NA	0	NA
WTCHG_18627:2:100:16915:11150	HLA-A	1	1	NA	NA	NA	NA	NA	4
WTCHG_18627:2:100:16918:19745	HLA-A	1	1	1	NA	1	0	NA	NA
WTCHG_18627:2:100:17009:17961	HLA-A	1	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:17026:11475	HLA-A	0	0	4	1	4	2	1	NA
WTCHG_18627:2:100:17064:7017	HLA-A	0	0	NA	2	NA	NA	0	NA
WTCHG_18627:2:100:17072:12680	HLA-A	2	NA	3	NA	3	0	NA	NA
WTCHG_18627:2:100:17088:7490	HLA-A	NA	NA	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:17216:11178	HLA-A	1	1	2	2	2	0	2	2
WTCHG_18627:2:100:17373:6000	HLA-A	NA	NA	NA	3	NA	NA	NA	NA
WTCHG_18627:2:100:17553:13473	HLA-A	NA	NA	1	1	NA	0	1	1
WTCHG_18627:2:100:17565:17933	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:17565:9560	HLA-A	1	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:17704:15046	HLA-A	0	0	0	NA	0	1	NA	NA
WTCHG_18627:2:100:17725:9293	HLA-A	0	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:1776:19828	HLA-A	1	1	2	1	2	1	1	1
WTCHG_18627:2:100:17911:3097	HLA-A	1	1	1	3	1	1	NA	3
WTCHG_18627:2:100:18008:3155	HLA-A	2	2	2	2	2	0	2	NA
WTCHG_18627:2:100:18035:6600	HLA-A	0	0	3	NA	NA	0	NA	NA
WTCHG_18627:2:100:18039:3305	HLA-A	0	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:18086:4615	HLA-A	0	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:18147:6561	HLA-A	1	1	1	1	1	0	1	1
WTCHG_18627:2:100:18324:12298	HLA-A	3	3	2	3	2	1	3	3
WTCHG_18627:2:100:1833:5332	HLA-A	NA	NA	NA	NA	NA	NA	1	NA
WTCHG_18627:2:100:18614:6178	HLA-A	0	0	NA	1	NA	2	1	NA
WTCHG_18627:2:100:18745:2301	HLA-A	2	NA	3	NA	3	0	NA	NA
WTCHG_18627:2:100:18838:2461	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:19118:16820	HLA-A	0	NA	NA	NA	0	0	NA	NA
WTCHG_18627:2:100:19219:13510	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:100:19496:7222	HLA-A	NA	NA	NA	NA	NA	NA	2	NA
WTCHG_18627:2:100:19514:3147	HLA-A	0	0	0	1	0	0	1	1
WTCHG_18627:2:100:19572:18947	HLA-A	NA	NA	1	2	NA	0	2	2
WTCHG_18627:2:100:2211:16194	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:2274:19292	HLA-A	0	NA	NA	0	NA	NA	0	0
WTCHG_18627:2:100:2312:8935	HLA-A	0	0	NA	NA	NA	NA	0	NA
WTCHG_18627:2:100:2328:12796	HLA-A	0	0	0	NA	0	1	NA	NA
WTCHG_18627:2:100:2439:2315	HLA-A	2	2	NA	NA	NA	4	NA	NA
WTCHG_18627:2:100:2512:6622	HLA-A	NA	NA	NA	NA	NA	3	NA	NA
WTCHG_18627:2:100:2513:19676	HLA-A	1	1	1	NA	1	0	NA	NA
WTCHG_18627:2:100:2535:17062	HLA-A	0	0	NA	NA	NA	NA	2	NA
WTCHG_18627:2:100:2542:11123	HLA-A	0	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:100:2542:7297	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:2627:21022	HLA-A	1	1	4	4	4	NA	4	4
WTCHG_18627:2:100:2841:13450	HLA-A	NA	NA	1	1	NA	0	1	1
WTCHG_18627:2:100:2907:11213	HLA-A	0	0	NA	NA	NA	1	NA	2
WTCHG_18627:2:100:2909:13829	HLA-A	0	0	0	1	0	0	1	1
WTCHG_18627:2:100:3036:19774	HLA-A	NA	NA	NA	3	NA	0	NA	NA
WTCHG_18627:2:100:3044:8577	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:3252:4943	HLA-A	0	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:3274:13896	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:3330:3894	HLA-A	2	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:3550:15555	HLA-A	0	0	2	3	2	0	NA	NA
WTCHG_18627:2:100:3571:20836	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:100:3582:14819	HLA-A	0	0	NA	NA	NA	2	NA	2
WTCHG_18627:2:100:3630:1460	HLA-A	2	2	NA	NA	NA	2	NA	NA
WTCHG_18627:2:100:3745:7057	HLA-A	0	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:3844:2260	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:100:3872:1556	HLA-A	NA	NA	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:3918:6007	HLA-A	1	1	1	NA	1	0	NA	NA
WTCHG_18627:2:100:4046:5768	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:4148:1201	HLA-A	1	1	1	2	1	1	2	2
WTCHG_18627:2:100:4166:11032	HLA-A	1	1	NA	3	NA	NA	2	NA
WTCHG_18627:2:100:4406:5672	HLA-A	NA	1	3	3	3	1	2	3
WTCHG_18627:2:100:4413:20118	HLA-A	0	0	NA	NA	NA	2	NA	2
WTCHG_18627:2:100:4488:8804	HLA-A	1	1	3	2	3	1	2	2
WTCHG_18627:2:100:4502:4084	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:100:4579:13436	HLA-A	1	1	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:4679:5896	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:100:4735:7791	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:4809:20722	HLA-A	NA	NA	4	NA	NA	NA	4	NA
WTCHG_18627:2:100:4860:12230	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:100:5166:19306	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:100:5285:17058	HLA-A	2	2	0	0	0	0	1	NA
WTCHG_18627:2:100:5402:17940	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:5473:15688	HLA-A	0	0	0	NA	0	0	NA	NA
WTCHG_18627:2:100:5607:15579	HLA-A	1	NA	NA	2	NA	NA	NA	3
WTCHG_18627:2:100:5833:14250	HLA-A	1	1	3	NA	3	1	NA	NA
WTCHG_18627:2:100:5923:11682	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:6024:12267	HLA-A	2	2	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:6220:7000	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:6267:13341	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:100:6398:17173	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:6420:5758	HLA-A	1	1	NA	2	NA	3	2	NA
WTCHG_18627:2:100:6605:11179	HLA-A	0	0	NA	NA	NA	0	2	1
WTCHG_18627:2:100:6668:6367	HLA-A	2	2	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:6674:18226	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:100:6725:15670	HLA-A	1	1	3	4	3	1	NA	NA
WTCHG_18627:2:100:6808:2960	HLA-A	NA	NA	NA	2	NA	NA	2	NA
WTCHG_18627:2:100:6839:14770	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:100:6859:21229	HLA-A	NA	NA	NA	2	NA	0	NA	NA
WTCHG_18627:2:100:6877:3048	HLA-A	0	0	0	1	0	0	1	1
WTCHG_18627:2:100:6946:16350	HLA-A	1	1	1	2	1	0	2	2
WTCHG_18627:2:100:6963:12954	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:100:7031:6374	HLA-A	1	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:7032:12034	HLA-A	0	0	0	1	0	0	1	1
WTCHG_18627:2:100:7192:19248	HLA-A	0	0	2	3	NA	0	3	3
WTCHG_18627:2:100:7338:12691	HLA-A	NA	NA	NA	NA	NA	NA	2	NA
WTCHG_18627:2:100:7413:8972	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:7469:7394	HLA-A	0	0	NA	1	1	0	NA	1
WTCHG_18627:2:100:7479:4294	HLA-A	2	2	NA	NA	NA	NA	4	NA
WTCHG_18627:2:100:7762:8229	HLA-A	0	0	NA	3	NA	NA	2	NA
WTCHG_18627:2:100:7795:1647	HLA-A	2	2	3	3	3	0	3	NA
WTCHG_18627:2:100:8131:9304	HLA-A	1	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:8155:17192	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:100:8163:4720	HLA-A	0	0	NA	1	NA	2	0	NA
WTCHG_18627:2:100:8209:6062	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:8225:13146	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:100:8310:15783	HLA-A	NA	NA	NA	NA	NA	3	NA	NA
WTCHG_18627:2:100:8497:10912	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:100:8563:20803	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:8569:15386	HLA-A	NA	NA	2	4	2	0	NA	NA
WTCHG_18627:2:100:8755:9702	HLA-A	1	1	0	1	0	0	1	1
WTCHG_18627:2:100:8804:18719	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:100:8866:15038	HLA-A	NA	NA	NA	NA	NA	0	NA	3
WTCHG_18627:2:100:8957:15516	HLA-A	1	1	2	2	2	0	1	1
WTCHG_18627:2:100:9059:9960	HLA-A	2	2	NA	NA	NA	2	NA	NA
WTCHG_18627:2:100:9201:15794	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:9248:15650	HLA-A	0	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:9393:20496	HLA-A	0	0	0	NA	0	0	NA	NA
WTCHG_18627:2:100:9414:9840	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:100:9444:20512	HLA-A	0	0	NA	NA	NA	2	3	NA
WTCHG_18627:2:100:9787:15365	HLA-A	NA	NA	3	2	NA	1	NA	NA
WTCHG_18627:2:100:9805:19332	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:100:9921:6737	HLA-A	NA	NA	NA	4	NA	1	NA	NA
WTCHG_18627:2:101:10096:20450	HLA-A	0	0	1	2	1	0	2	2
WTCHG_18627:2:101:10099:6454	HLA-A	NA	NA	NA	NA	NA	1	NA	NA
WTCHG_18627:2:101:10130:5945	HLA-A	1	1	0	0	0	0	0	0
WTCHG_18627:2:101:10139:15129	HLA-A	NA	NA	NA	3	NA	0	NA	NA
WTCHG_18627:2:101:10362:20314	HLA-A	2	NA	3	NA	3	0	NA	NA
WTCHG_18627:2:101:10597:9643	HLA-A	1	1	1	NA	1	0	NA	NA
WTCHG_18627:2:101:10718:15175	HLA-A	0	0	0	2	0	1	2	2
WTCHG_18627:2:101:10755:3514	HLA-A	0	0	NA	NA	NA	2	NA	2
WTCHG_18627:2:101:10813:9907	HLA-A	0	0	0	NA	0	1	NA	NA
WTCHG_18627:2:101:10928:19301	HLA-A	2	NA	3	NA	3	0	NA	NA
WTCHG_18627:2:101:10944:15117	HLA-A	0	0	NA	NA	NA	NA	NA	3
WTCHG_18627:2:101:10959:16073	HLA-A	0	0	3	NA	3	0	NA	NA
WTCHG_18627:2:101:1112:9177	HLA-A	0	0	2	NA	2	0	2	NA
WTCHG_18627:2:101:11133:10285	HLA-A	0	0	2	NA	NA	0	NA	NA
WTCHG_18627:2:101:11155:15368	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:101:11162:4735	HLA-A	2	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:11245:8345	HLA-A	1	1	1	2	1	0	2	2
WTCHG_18627:2:101:11278:1985	HLA-A	1	1	NA	NA	NA	NA	NA	3
WTCHG_18627:2:101:11321:7976	HLA-A	0	0	3	NA	3	1	NA	NA
WTCHG_18627:2:101:11331:13186	HLA-A	0	0	2	2	NA	0	3	2
WTCHG_18627:2:101:11350:19285	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:101:11379:20892	HLA-A	1	1	2	NA	2	2	NA	NA
WTCHG_18627:2:101:11534:8074	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:101:11559:14635	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:101:11577:2480	HLA-A	NA	NA	1	1	NA	0	1	1
WTCHG_18627:2:101:11602:6357	HLA-A	NA	NA	NA	3	NA	0	NA	NA
WTCHG_18627:2:101:11892:4583	HLA-A	1	1	1	NA	1	0	2	NA
WTCHG_18627:2:101:12013:10079	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:101:12055:3522	HLA-A	1	1	3	NA	NA	1	NA	NA
WTCHG_18627:2:101:12076:11762	HLA-A	0	0	1	NA	1	0	2	NA
WTCHG_18627:2:101:12103:9161	HLA-A	0	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:1216:4842	HLA-A	1	1	2	4	2	1	NA	NA
WTCHG_18627:2:101:12275:10999	HLA-A	1	1	1	NA	1	0	NA	NA
WTCHG_18627:2:101:12291:18843	HLA-A	1	1	NA	3	NA	0	NA	1
WTCHG_18627:2:101:12547:2440	HLA-A	NA	NA	1	2	NA	0	2	2
WTCHG_18627:2:101:1256:5608	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:101:1257:11019	HLA-A	2	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:12638:16163	HLA-A	0	0	NA	4	NA	2	NA	3
WTCHG_18627:2:101:12907:6291	HLA-A	1	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:12960:6423	HLA-A	NA	NA	2	NA	2	NA	NA	NA
WTCHG_18627:2:101:1299:8045	HLA-A	2	2	NA	3	NA	1	NA	NA
WTCHG_18627:2:101:13009:3461	HLA-A	1	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:13067:9075	HLA-A	2	2	2	3	2	2	4	3
WTCHG_18627:2:101:13101:18962	HLA-A	0	0	0	1	0	0	1	1
WTCHG_18627:2:101:13155:18573	HLA-A	0	0	NA	3	NA	NA	2	NA
WTCHG_18627:2:101:13276:19600	HLA-A	2	2	0	0	0	0	0	0
WTCHG_18627:2:101:13322:19742	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:101:13408:16741	HLA-A	0	0	2	NA	2	0	2	NA
WTCHG_18627:2:101:13524:4141	HLA-A	0	0	NA	NA	NA	3	3	4
WTCHG_18627:2:101:13557:9666	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:101:13606:15507	HLA-A	NA	NA	NA	NA	1	NA	NA	NA
WTCHG_18627:2:101:13733:12040	HLA-A	1	1	1	1	1	0	1	1
WTCHG_18627:2:101:13733:6039	HLA-A	1	1	2	3	2	0	3	3
WTCHG_18627:2:101:13770:7800	HLA-A	1	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:13806:16351	HLA-A	0	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:13816:6179	HLA-A	0	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:13966:14331	HLA-A	0	0	NA	1	NA	2	0	NA
WTCHG_18627:2:101:14091:10165	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:101:14108:19423	HLA-A	NA	NA	4	NA	4	1	NA	NA
WTCHG_18627:2:101:1410:14220	HLA-A	0	0	3	NA	3	0	NA	NA
WTCHG_18627:2:101:14170:19761	HLA-A	0	0	NA	NA	NA	2	NA	2
WTCHG_18627:2:101:14262:9272	HLA-A	1	1	NA	3	NA	0	NA	1
WTCHG_18627:2:101:14265:16747	HLA-A	1	1	1	2	1	0	2	2
WTCHG_18627:2:101:1440:14572	HLA-A	1	1	3	4	3	1	3	NA
WTCHG_18627:2:101:14625:11168	HLA-A	0	0	1	3	1	0	NA	NA
WTCHG_18627:2:101:14761:16147	HLA-A	0	0	1	1	1	0	0	1
WTCHG_18627:2:101:14770:14042	HLA-A	1	1	1	2	1	1	2	2
WTCHG_18627:2:101:14823:10775	HLA-A	0	0	0	1	0	0	1	1
WTCHG_18627:2:101:14839:3097	HLA-A	2	2	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:101:1495:5133	HLA-A	0	0	0	1	0	0	2	1
WTCHG_18627:2:101:1501:11740	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:101:15076:9799	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:101:15116:5062	HLA-A	0	0	4	3	4	3	2	NA
WTCHG_18627:2:101:15230:17509	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:101:15302:18881	HLA-A	NA	NA	NA	3	NA	0	NA	NA
WTCHG_18627:2:101:15440:8714	HLA-A	2	2	NA	2	NA	0	NA	NA
WTCHG_18627:2:101:15805:18818	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:101:1581:10724	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:101:15892:10584	HLA-A	0	0	0	2	0	1	3	2
WTCHG_18627:2:101:15902:8535	HLA-A	1	1	1	NA	1	0	NA	NA
WTCHG_18627:2:101:15959:9594	HLA-A	NA	NA	NA	NA	NA	1	NA	NA
WTCHG_18627:2:101:15960:7734	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:101:16058:5266	HLA-A	0	0	NA	NA	NA	2	3	NA
WTCHG_18627:2:101:16144:5144	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:101:16150:13901	HLA-A	0	0	NA	NA	NA	0	3	1
WTCHG_18627:2:101:16256:14504	HLA-A	0	0	NA	3	NA	NA	2	NA
WTCHG_18627:2:101:16310:3841	HLA-A	0	0	0	1	0	0	2	1
WTCHG_18627:2:101:16359:18846	HLA-A	1	1	1	3	NA	0	NA	3
WTCHG_18627:2:101:16367:1539	HLA-A	0	0	0	NA	0	0	NA	NA
WTCHG_18627:2:101:1638:11861	HLA-A	1	1	1	2	1	0	3	2
WTCHG_18627:2:101:16484:18994	HLA-A	0	0	NA	NA	NA	NA	NA	3
WTCHG_18627:2:101:16495:16746	HLA-A	0	0	NA	NA	NA	2	NA	2
WTCHG_18627:2:101:16578:7962	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:101:16691:9646	HLA-A	NA	NA	1	1	NA	0	1	1
WTCHG_18627:2:101:16780:16918	HLA-A	0	0	NA	NA	1	0	NA	NA
WTCHG_18627:2:101:16823:13810	HLA-A	0	0	0	2	0	0	3	2
WTCHG_18627:2:101:16831:1189	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:101:16840:17359	HLA-A	0	0	1	3	1	0	1	NA
WTCHG_18627:2:101:16924:19959	HLA-A	0	0	NA	NA	NA	NA	2	NA
WTCHG_18627:2:101:17066:4231	HLA-A	0	0	2	3	2	0	NA	NA
WTCHG_18627:2:101:17071:3822	HLA-A	0	0	NA	3	NA	NA	2	NA
WTCHG_18627:2:101:17311:16050	HLA-A	0	0	NA	2	NA	NA	1	NA
WTCHG_18627:2:101:17338:15683	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:101:17431:18618	HLA-A	0	0	2	3	2	0	NA	NA
WTCHG_18627:2:101:1745:18173	HLA-A	1	1	0	1	0	0	1	1
WTCHG_18627:2:101:17544:6251	HLA-A	0	0	NA	NA	NA	2	NA	2
